1, Alice, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65
11, Kate, 6, 16, 26, 36, 46, 56, 66, 76, 86, 96, 106, 116
2, Bob, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75
13, Mike, 110, 105, 100, 95, 90, 85, 80, 75, 70, 65, 60, 55
3, Charlie, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85
5, Eve, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35
12, Leo, 4, 14, 24, 34, 44, 54, 64, 74, 84, 94, 104, 114
15, Oscar, 120, 115, 110, 105, 100, 95, 90, 85, 80, 75, 70, 65
6, Frank, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20
7, Grace, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30
14, Nina, 2, 12, 22, 32, 42, 52, 62, 72, 82, 92, 102, 112
4, Dave, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95
8, Hank, 13, 23, 33, 43, 53, 63, 73, 83, 93, 103, 113, 123
9, Ivy, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15
10, Jack, 7, 17, 27, 37, 47, 57, 67, 77, 87, 97, 107, 117
